
中国广电,#genre#
CCTV13,https://ott.lnitv.cn/CBN.php?id=30013
CCTV1,https://ott.lnitv.cn/CBN.php?id=30001
重温经典,https://ott.lnitv.cn/CBN.php?id=30167

北方云,#genre#
=新视觉=,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000249&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
=老故事=,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000166&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV10,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000129&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV11,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000130&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV12,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000131&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV13,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000067&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV14,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000132&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV15,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000133&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV17,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000204&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV1,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000488&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV2,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000061&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV3,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000062&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV4,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000063&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV5+,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000246&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV5,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000064&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV6,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000065&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV7,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000127&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV8,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000066&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CCTV9,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000128&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CETV-1,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000135&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CETV-2,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000492&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CGTN-俄罗斯语,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000309&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CGTN-法语,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000307&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CGTN-西班牙语,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000306&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CGTN-阿拉伯语,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000308&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
CGTN,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000134&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
世界地理,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000177&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
东南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000483&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
东方卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000093&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
中华特产,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000158&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
丹东新闻,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000276&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
书画频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000180&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
云南卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000482&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
优优宝贝,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000153&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
先锋乒羽,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000349&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
兵团卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000124&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
内蒙古卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000110&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
农林卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000122&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
北京卫视,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R69383AD4U3098A04BK7843FCEEI2F3E2770P2BEFM328D2EBV20A50Z337D9W187F94689DF34BEB&programid=4200000083&playtoken=31611KKXZAMDCOE10&verifycode=2017721582
